Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
Jaws,https://www.imdb.com/title/tt0073195/?ref_=sr_t_1,1975,2h 4m,PG,8.1,683K,7000000.0,477220580.0,266567580.0,7061513.0,['Steven Spielberg'],"['Peter Benchley', 'Carl Gottlieb']","['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss']","['Monster Horror', 'Sea Adventure', 'Survival', 'Adventure', 'Drama', 'Horror', 'Thriller']",['United States'],"[""Water Street, Edgartown, Martha's Vineyard, Massachusetts, USA""]","['Zanuck/Brown Productions', 'Universal Pictures']",['English'],0,20,0,1975.0
The Rocky Horror Picture Show,https://www.imdb.com/title/tt0073629/?ref_=sr_t_2,1975,1h 40m,R,7.4,173K,1200000.0,115798478.0,112892319.0,,['Jim Sharman'],"[""Richard O'Brien"", 'Jim Sharman']","['Tim Curry', 'Susan Sarandon', 'Barry Bostwick']","['Dark Comedy', 'Raunchy Comedy', 'Rock Musical', 'Supernatural Horror', 'Comedy', 'Horror', 'Musical']","['United Kingdom', 'United States']","['Oakley Court, Windsor Road, Oakley Green, Windsor, Berkshire, England, UK']","['Twentieth Century Fox', 'Michael White Productions']",['English'],0,4,0,1975.0
One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=sr_t_3,1975,2h 13m,R,8.7,1.1M,3000000.0,109115366.0,108981275.0,,['Milos Forman'],"['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey']","['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman']","['Medical Drama', 'Psychological Drama', 'Drama']",['United States'],"['Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, USA']","['Fantasy Films', 'N.V. Zvaluw']",['English'],0,15,0,1975.0
Dog Day Afternoon,https://www.imdb.com/title/tt0072890/?ref_=sr_t_4,1975,2h 5m,R,8.0,279K,1800000.0,50002721.0,50000000.0,,['Sidney Lumet'],"['Frank Pierson', 'P.F. Kluge', 'Thomas Moore']","['Al Pacino', 'John Cazale', 'Penelope Allen']","['Heist', 'True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']",['United States'],"['285 Prospect Park West, Brooklyn, New York City, New York, USA']","['Warner Bros.', 'Artists Entertainment Complex']",['English'],0,20,0,1975.0
Shampoo,https://www.imdb.com/title/tt0073692/?ref_=sr_t_5,1975,1h 50m,R,6.4,15K,4000000.0,49407734.0,49407734.0,,['Hal Ashby'],"['Robert Towne', 'Warren Beatty']","['Warren Beatty', 'Julie Christie', 'Goldie Hawn']","['Satire', 'Comedy', 'Drama']",['United States'],"['2270 Bowmont Drive, Beverly Hills, California, USA']","['Persky-Bright / Vista', 'Columbia Pictures', 'Rubeeker Films']",['English'],0,11,0,1975.0
The Return of the Pink Panther,https://www.imdb.com/title/tt0072081/?ref_=sr_t_6,1975,1h 53m,G,7.0,31K,5000000.0,41833423.0,41833347.0,,['Blake Edwards'],"['Frank Waldman', 'Blake Edwards']","['Peter Sellers', 'Christopher Plummer', 'Catherine Schell']","['Farce', 'Slapstick', 'Comedy', 'Crime', 'Mystery']","['United Kingdom', 'United States']","['Palace Hotel, Gstaad, Switzerland']","['ITC Films', 'Jewel Productions', 'Pimlico Films']",['English'],0,5,0,1975.0
Funny Lady,https://www.imdb.com/title/tt0073026/?ref_=sr_t_7,1975,2h 16m,PG,6.2,6.1K,,39000000.0,39000000.0,,['Herbert Ross'],"['Jay Presson Allen', 'Arnold Schulman']","['Barbra Streisand', 'James Caan', 'Omar Sharif']","['Biography', 'Comedy', 'Drama', 'Musical', 'Romance']",['United States'],"['Central Station, Oakland, California, USA']","['Columbia Pictures', 'Rastar Pictures', 'Vista']",['English'],0,0,5,1975.0
The Apple Dumpling Gang,https://www.imdb.com/title/tt0072653/?ref_=sr_t_8,1975,1h 40m,G,6.4,6.7K,,36853000.0,36853000.0,,['Norman Tokar'],"['Don Tait', 'Jack M. Bickham']","['Bill Bixby', 'Susan Clark', 'Don Knotts']","['Slapstick', 'Comedy', 'Family', 'Western']",['United States'],"['Bend, Oregon, USA']",['Walt Disney Productions'],['English'],0,0,0,1975.0
Tommy,https://www.imdb.com/title/tt0073812/?ref_=sr_t_9,1975,1h 51m,PG,6.6,23K,5000000.0,34279846.0,34251525.0,,['Ken Russell'],"['The Who', 'Ken Russell', 'Pete Townshend']","['Roger Daltrey', 'Ann-Margret', 'Oliver Reed']","['Jukebox Musical', 'Rock Musical', 'Drama', 'Musical']",['United Kingdom'],"['Kings Theatre, 20-24 Albert Road, Southsea, Portsmouth, Hampshire, England, UK']","['Robert Stigwood Organisation Ltd.', 'Hemdale']",['English'],0,5,2,1975.0
Three Days of the Condor,https://www.imdb.com/title/tt0073802/?ref_=sr_t_10,1975,1h 57m,R,7.4,65K,20000000.0,27476252.0,27476252.0,,['Sydney Pollack'],"['James Grady', 'Lorenzo Semple Jr.', 'David Rayfiel']","['Robert Redford', 'Faye Dunaway', 'Cliff Robertson']","['Political Thriller', 'Spy', 'Crime', 'Mystery', 'Thriller']",['United States'],"['55 East 77th Street, Manhattan, New York City, New York, USA']","['Wildwood Enterprises', 'Dino De Laurentiis Company']","['English', 'French']",0,4,1,1975.0
Lucky Lady,https://www.imdb.com/title/tt0073317/?ref_=sr_t_11,1975,1h 58m,PG,5.2,1.4K,13000000.0,24441725.0,24441725.0,,['Stanley Donen'],"['Willard Huyck', 'Gloria Katz']","['Gene Hackman', 'Liza Minnelli', 'Burt Reynolds']","['Slapstick', 'Comedy', 'Crime', 'Drama']",['United States'],"['Guaymas, Sonora, Mexico']",['Gruskoff/Venture Films'],"['English', 'Spanish', 'French']",0,0,0,1975.0
The Great Waldo Pepper,https://www.imdb.com/title/tt0073075/?ref_=sr_t_12,1975,1h 47m,PG,6.7,6.8K,5000000.0,20642922.0,20642922.0,,['George Roy Hill'],"['George Roy Hill', 'William Goldman']","['Robert Redford', 'Bo Svenson', 'Bo Brundin']","['Adventure', 'Drama']",['United States'],"['Floresville, Texas, USA']","['Jennings Lang', 'Universal Pictures']",['English'],0,0,0,1975.0
Love and Death,https://www.imdb.com/title/tt0073312/?ref_=sr_t_13,1975,1h 25m,PG,7.6,42K,3000000.0,20123742.0,20123742.0,,['Woody Allen'],['Woody Allen'],"['Woody Allen', 'Diane Keaton', 'Georges Adet']","['Parody', 'Slapstick', 'Comedy', 'War']",['United States'],"['Budapest, Hungary']","['Jack Rollins & Charles H. Joffe Productions', 'United Artists']",['English'],0,0,0,1975.0
Escape to Witch Mountain,https://www.imdb.com/title/tt0072951/?ref_=sr_t_14,1975,1h 37m,G,6.3,12K,,20000000.0,20000000.0,,['John Hough'],"['Robert Malcolm Young', 'Alexander Key']","['Eddie Albert', 'Ray Milland', 'Donald Pleasence']","['Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']",['United States'],"['Carmel, California, USA']",['Walt Disney Productions'],['English'],0,0,0,1975.0
Once Is Not Enough,https://www.imdb.com/title/tt0073190/?ref_=sr_t_15,1975,2h 1m,R,4.6,938,,15700729.0,15700729.0,,['Guy Green'],"['Julius J. Epstein', 'Jacqueline Susann']","['Kirk Douglas', 'Alexis Smith', 'David Janssen']","['Drama', 'Romance']",['United States'],"['Marbella, Málaga, Andalucía, Spain']","['Aries Productions', 'Aries Productions', 'Paramount Pictures']",['English'],0,0,1,1975.0
The Eiger Sanction,https://www.imdb.com/title/tt0072926/?ref_=sr_t_16,1975,2h 9m,R,6.4,23K,9000000.0,14200000.0,14200000.0,,['Clint Eastwood'],"['Hal Dresner', 'Warren Murphy', 'Rod Whitaker']","['Clint Eastwood', 'George Kennedy', 'Vonetta McGee']","['Action', 'Crime', 'Thriller']",['United States'],"['Zion National Park, Utah, USA']","['The Malpaso Company', 'Jennings Lang', 'Universal Pictures']","['English', 'German']",0,0,0,1975.0
French Connection II,https://www.imdb.com/title/tt0073018/?ref_=sr_t_17,1975,1h 59m,R,6.7,22K,4340000.0,12484444.0,12484444.0,,['John Frankenheimer'],"['Alexander Jacobs', 'Robert Dillon', 'Laurie Dillon']","['Gene Hackman', 'Fernando Rey', 'Bernard Fresson']","['Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Marseille, Bouches-du-Rhône, France']",['Twentieth Century Fox'],"['English', 'French', 'Occitan']",0,0,1,1975.0
"Give 'em Hell, Harry!",https://www.imdb.com/title/tt0073053/?ref_=sr_t_18,1975,1h 44m,PG,7.3,596,230000.0,11000000.0,11000000.0,,"['Steve Binder', 'Peter H. Hunt']",['Samuel Gallu'],['James Whitmore'],"['Biography', 'Comedy', 'Drama']",['United States'],"['Moore Theater - 1932 2nd Avenue, Seattle, Washington, USA']","['Permut Presentations', 'Theatrovision']",['English'],0,2,1,1975.0
Nashville,https://www.imdb.com/title/tt0073440/?ref_=sr_t_19,1975,2h 40m,R,7.6,29K,2200000.0,9994006.0,9984123.0,,['Robert Altman'],['Joan Tewkesbury'],"['Keith Carradine', 'Karen Black', 'Ronee Blakley']","['Satire', 'Tragedy', 'Comedy', 'Drama', 'Music']",['United States'],"['Centennial Park, Nashville, Tennessee, USA']","['ABC Entertainment', 'American Broadcasting Company (ABC)', 'Paramount Pictures']",['English'],0,25,0,1975.0
Bug,https://www.imdb.com/title/tt0072750/?ref_=sr_t_20,1975,1h 39m,PG,5.2,2.7K,,3602023.0,3602023.0,,['Jeannot Szwarc'],"['Thomas Page', 'William Castle']","['Bradford Dillman', 'Joanna Miles', 'Richard Gilliland']","['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",['United States'],"['Riverside, California, USA']",['William Castle Productions'],['English'],0,0,0,1975.0
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=sr_t_21,1975,1h 31m,PG,8.2,581K,229575.0,2817496.0,2562392.0,45487.0,"['Terry Gilliam', 'Terry Jones']","['Graham Chapman', 'John Cleese', 'Eric Idle']","['Graham Chapman', 'John Cleese', 'Eric Idle']","['Parody', 'Quest', 'Satire', 'Sketch Comedy', 'Slapstick', 'Sword & Sorcery', 'Adventure', 'Comedy', 'Fantasy']",['United Kingdom'],"['Castle Stalker, Appin, Argyll and Bute, Scotland, UK']","['Python (Monty) Pictures', 'Michael White Productions', 'National Film Trustee Company']","['English', 'French', 'Latin', 'Swedish']",0,2,0,1975.0
Framed,https://www.imdb.com/title/tt0073015/?ref_=sr_t_22,1975,1h 46m,R,6.4,782,,2122703.0,2122703.0,,['Phil Karlson'],"['Mort Briskin', 'Art Powers', 'Mike Misenheimer']","['Joe Don Baker', 'Conny Van Dyke', 'Gabriel Dell']","['Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Tennessee, USA']",['Paramount Pictures'],['English'],0,0,0,1975.0
At Long Last Love,https://www.imdb.com/title/tt0072665/?ref_=sr_t_23,1975,1h 58m,G,5.3,1.4K,6000000.0,1500000.0,1500000.0,,['Peter Bogdanovich'],['Peter Bogdanovich'],"['Burt Reynolds', 'Cybill Shepherd', 'Madeline Kahn']","['Jukebox Musical', 'Romantic Comedy', 'Comedy', 'Musical', 'Romance']",['United States'],"['Los Angeles, California, USA']","['Copa del Oro', 'Twentieth Century Fox']",['English'],0,0,0,1975.0
The Passenger,https://www.imdb.com/title/tt0073580/?ref_=sr_t_24,1975,2h 6m,PG,7.5,27K,,769503.0,620155.0,24157.0,['Michelangelo Antonioni'],"['Mark Peploe', 'Enrico Sannia', 'Michelangelo Antonioni']","['Jack Nicholson', 'Maria Schneider', 'Jenny Runacre']","['Drama', 'Thriller']","['Italy', 'France', 'Spain']","['Fort Polignac, Algeria']","['Metro-Goldwyn-Mayer (MGM)', 'Compagnia Cinematografica Champion', 'Les Films Concordia']","['English', 'Spanish', 'German', 'French']",0,2,0,1975.0
The Giant Spider Invasion,https://www.imdb.com/title/tt0073043/?ref_=sr_t_25,1975,1h 24m,PG,3.3,4.8K,300000.0,293053.0,293053.0,,['Bill Rebane'],"['Richard L. Huff', 'Robert Easton']","['Steve Brodie', 'Barbara Hale', 'Robert Easton']","['Horror', 'Sci-Fi']","['United States', 'Japan']","['University of Wisconsin-Stevens Point, 2100 Main Street, Stevens Point, Wisconsin, USA']","['Cinema Group 75', 'Sanrio Company', 'Transcentury Productions']",['English'],0,0,0,1975.0
Switchblade Sisters,https://www.imdb.com/title/tt0073778/?ref_=sr_t_26,1975,1h 31m,R,6.5,4.4K,320000.0,51264.0,51264.0,14532.0,['Jack Hill'],"['F.X. Maier', 'Jack Hill', 'John Prizer']","['Robbie Lee', 'Joanne Nail', 'Monica Gayle']","['Action', 'Crime', 'Drama']",['United States'],"['Moonlight Rollerway - 5110 San Fernando Road, Glendale, California, USA']",['Centaur'],['English'],0,0,0,1975.0
Picnic at Hanging Rock,https://www.imdb.com/title/tt0073540/?ref_=sr_t_27,1975,1h 55m,PG,7.4,43K,440000.0,83078.0,49582.0,27492.0,['Peter Weir'],"['Joan Lindsay', 'Cliff Green']","['Rachel Roberts', 'Anne-Louise Lambert', 'Vivean Gray']","['Coming-of-Age', 'Period Drama', 'Teen Drama', 'Tragedy', 'Drama', 'Mystery']",['Australia'],"['Mount Diogenes, Hanging Rock Reserve, Woodend, Victoria, Australia']","['British Empire Films Australia', 'The South Australian Film Corporation', 'The Australian Film Commission']","['English', 'French']",0,11,0,1975.0
Grey Gardens,https://www.imdb.com/title/tt0073076/?ref_=sr_t_28,1975,1h 35m,PG,7.5,16K,,38384.0,36923.0,13845.0,"['Ellen Hovde', 'Albert Maysles', 'David Maysles']",[],"['Edith Bouvier Beale', ""Edith 'Little Edie' Bouvier Beale"", 'Brooks Hyers']","['Comedy', 'Documentary', 'Drama']",['United States'],"['East Hampton, Long Island, New York, USA']","['Portrait Films', 'Maysles Films']","['French', 'English']",0,0,0,1975.0
Mirror,https://www.imdb.com/title/tt0072443/?ref_=sr_t_29,1975,1h 47m,Not Rated,7.9,54K,622000.0,124367.0,22168.0,11537.0,['Andrei Tarkovsky'],"['Andrei Tarkovsky', 'Aleksandr Misharin', 'Arseniy Tarkovskiy']","['Margarita Terekhova', 'Filipp Yankovskiy', 'Ignat Daniltsev']","['Biography', 'Drama']",['Soviet Union'],"['Tuchkovo, Moskovskaya oblast, Russia']",['Mosfilm'],"['Russian', 'Spanish']",0,0,0,1975.0
That Most Important Thing: Love,https://www.imdb.com/title/tt0073155/?ref_=sr_t_30,1975,1h 49m,R,7.0,4.9K,,19120.0,19120.0,5370.0,['Andrzej Zulawski'],"['Christopher Frank', 'Andrzej Zulawski']","['Romy Schneider', 'Fabio Testi', 'Jacques Dutronc']","['Drama', 'Romance']","['France', 'Italy', 'West Germany']","['Paris, France']","['Albina Productions S.a.r.l.', 'Rizzoli Film', 'TIT Filmproduktion GmbH']",['French'],0,3,0,1975.0
Seven Beauties,https://www.imdb.com/title/tt0075040/?ref_=sr_t_31,1975,1h 56m,R,7.7,6.7K,,12619.0,12408.0,1536.0,['Lina Wertmüller'],['Lina Wertmüller'],"['Giancarlo Giannini', 'Fernando Rey', 'Shirley Stoler']","['Comedy', 'Drama', 'War']",['Italy'],"['Naples, Campania, Italy']",['Medusa Distribuzione'],"['Italian', 'German', 'Neapolitan', 'Spanish', 'English']",0,9,4,1975.0
Fox and His Friends,https://www.imdb.com/title/tt0072976/?ref_=sr_t_32,1975,2h 4m,Not Rated,7.6,7.1K,450000.0,8148.0,8144.0,11623.0,['Rainer Werner Fassbinder'],"['Rainer Werner Fassbinder', 'Christian Hohoff']","['Rainer Werner Fassbinder', 'Peter Chatel', 'Karlheinz Böhm']","['Crime', 'Drama', 'Romance']",['West Germany'],"['Djemaa el Fna, Marrakech, Morocco']","['City Film', 'Tango Film']","['German', 'English', 'French']",0,0,0,1975.0
Mother Kusters Goes to Heaven,https://www.imdb.com/title/tt0073424/?ref_=sr_t_33,1975,1h 48m,,7.5,2.3K,750000.0,8148.0,8144.0,11623.0,['Rainer Werner Fassbinder'],"['Rainer Werner Fassbinder', 'Kurt Raab', 'Heinrich Zille']","['Brigitte Mira', 'Ingrid Caven', 'Margit Carstensen']",['Drama'],['West Germany'],"['Frankfurt am Main, Hesse, Germany']","['Filmverlag der Autoren', 'Tango Film']",['German'],0,0,0,1975.0
The Story of Adele H,https://www.imdb.com/title/tt0073114/?ref_=sr_t_34,1975,1h 36m,PG,7.2,9.3K,,509.0,509.0,11206.0,['François Truffaut'],"['François Truffaut', 'Jean Gruault', 'Suzanne Schiffman']","['Isabelle Adjani', 'Bruce Robinson', 'Sylvia Marriott']","['Period Drama', 'Biography', 'Drama', 'History']",['France'],['Channel Islands'],"['Les Artistes Associés', 'Les Films du Carrosse', 'Les Productions Artistes Associés']","['French', 'English']",0,5,1,1975.0
"Salò, or the 120 Days of Sodom",https://www.imdb.com/title/tt0073650/?ref_=sr_t_35,1975,1h 57m,TV-MA,5.8,68K,,1808595.0,,,['Pier Paolo Pasolini'],"['Pier Paolo Pasolini', 'Sergio Citti', 'Pupi Avati']","['Paolo Bonacelli', 'Giorgio Cataldi', 'Uberto Paolo Quintavalle']","['Period Drama', 'Teen Drama', 'Tragedy', 'Drama']","['Italy', 'France']","['Salò, Brescia, Lombardia, Italy']","['Produzioni Europee Associate (PEA)', 'Les Productions Artistes Associés']","['Italian', 'French', 'German']",0,0,0,1975.0
Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=sr_t_36,1975,3h 5m,PG,8.1,189K,11000000.0,279084.0,,,['Stanley Kubrick'],"['Stanley Kubrick', 'William Makepeace Thackeray']","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee']","['Costume Drama', 'Dark Comedy', 'Epic', 'Period Drama', 'Adventure', 'Drama', 'War']","['United Kingdom', 'United States']","['Carton House, Maynooth, County Kildare, Ireland']","['Peregrine', 'Hawk Films', 'Warner Bros.']","['English', 'German', 'French']",0,14,0,1975.0
Operation Daybreak,https://www.imdb.com/title/tt0075019/?ref_=sr_t_37,1975,1h 58m,PG,7.0,2.5K,,,,,['Lewis Gilbert'],"['Alan Burgess', 'Ronald Harwood']","['Timothy Bottoms', 'Martin Shaw', 'Joss Ackland']","['Drama', 'History', 'War']","['Czechoslovakia', 'Yugoslavia', 'United States']","['Old Town Square, Old Town, Prague, Czech Republic']","['Howard R. Schuster', 'American Allied Pictures', 'Ceskoslovenský Filmexport']","['English', 'German']",0,0,0,1975.0
Ilsa: She Wolf of the SS,https://www.imdb.com/title/tt0071650/?ref_=sr_t_38,1975,1h 36m,R,5.1,8.4K,,,,,['Don Edmonds'],"['Jonah Royston', 'John C.W. Saxton']","['Dyanne Thorne', 'Gregory Knoph', 'Tony Mumolo']","['Drama', 'Horror', 'Thriller', 'War']",['Canada'],"['Cinema General Studios - 846 N. Cahuenga, Hollywood, Los Angeles, California, USA']",['Aeteas Filmproduktions'],"['English', 'German']",0,0,0,1975.0
Death Race 2000,https://www.imdb.com/title/tt0072856/?ref_=sr_t_39,1975,1h 20m,R,6.2,32K,300000.0,,,,['Paul Bartel'],"['Robert Thom', 'Charles B. Griffith', 'Ib Melchior']","['David Carradine', 'Sylvester Stallone', 'Simone Griffeth']","['B-Action', 'Car Action', 'Dark Comedy', 'Dystopian Sci-Fi', 'Action', 'Comedy', 'Sci-Fi', 'Sport']",['United States'],"['Chet Holifield Federal Building - 24000 Avila Road, Laguna Niguel, California, USA']",['New World Pictures'],"['English', 'Brazilian Sign Language', 'Spanish']",0,0,0,1975.0
The School Teacher,https://www.imdb.com/title/tt0073170/?ref_=sr_t_40,1975,1h 29m,,4.8,955,,,,,['Nando Cicero'],"['Tito Carpi', 'Francesco Milizia']","['Edwige Fenech', 'Vittorio Caprioli', 'Alfredo Pea']",['Comedy'],['Italy'],"['Cefalù, Palermo, Sicilia, Italy']","['Devon Film', 'Medusa Distribuzione']",['Italian'],0,0,0,1975.0
The Beast,https://www.imdb.com/title/tt0072752/?ref_=sr_t_41,1975,1h 38m,Not Rated,5.7,5.6K,,,,,['Walerian Borowczyk'],['Walerian Borowczyk'],"['Sirpa Lane', 'Lisbeth Hummel', 'Elisabeth Kaza']","['Drama', 'Fantasy', 'Horror', 'Romance']",['France'],[],['Argos Films'],"['French', 'Italian', 'English']",0,0,0,1975.0
The Pinchcliffe Grand Prix,https://www.imdb.com/title/tt0073000/?ref_=sr_t_42,1975,1h 28m,G,8.4,15K,,,,,['Ivo Caprino'],"['Kjell Aukrust', 'Remo Caprino', 'Kjell Syversen']","['Wenche Foss', 'Per Theodor Haugen', 'Harald Heide-Steen Jr.']","['Car Action', 'Motorsport', 'Stop Motion Animation', 'Animation', 'Comedy', 'Family', 'Sport']",['Norway'],[],['Caprino Filmcenter a/s'],['Norwegian'],0,0,0,1975.0
The Story of O,https://www.imdb.com/title/tt0073115/?ref_=sr_t_43,1975,1h 37m,NC-17,5.3,7.1K,,,,,['Just Jaeckin'],"['Sébastien Japrisot', 'Dominique Aury']","['Corinne Cléry', 'Udo Kier', 'Anthony Steel']",['Drama'],"['France', 'West Germany', 'Canada']",[],"['A.D. Creation', 'Somerville House', 'Terra-Filmkunst']","['French', 'English', 'Polish']",0,0,0,1975.0
Supervixens,https://www.imdb.com/title/tt0073768/?ref_=sr_t_44,1975,1h 46m,Unrated,5.9,5.2K,100000.0,,,,['Russ Meyer'],['Russ Meyer'],"['Charles Pitt', 'Shari Eubank', 'Charles Napier']","['Dark Comedy', 'Comedy', 'Thriller']",['United States'],"['Quartzsite, Arizona, USA']","['RM Films International', 'September 19']","['English', 'German', 'Swedish', 'American Sign Language']",0,0,0,1975.0
Rollerball,https://www.imdb.com/title/tt0073631/?ref_=sr_t_45,1975,2h 5m,R,6.5,30K,6000000.0,,,,['Norman Jewison'],['William Harrison'],"['James Caan', 'John Houseman', 'Maud Adams']","['Dystopian Sci-Fi', 'Action', 'Sci-Fi', 'Sport']","['United Kingdom', 'Canada', 'United States']","['BMW Building, Munich, Bavaria, Germany']","['Algonquin', 'United Artists']",['English'],0,5,0,1975.0
The Man Who Would Be King,https://www.imdb.com/title/tt0073341/?ref_=sr_t_46,1975,2h 9m,PG,7.7,53K,8000000.0,12678.0,,,['John Huston'],"['John Huston', 'Gladys Hill', 'Rudyard Kipling']","['Sean Connery', 'Michael Caine', 'Christopher Plummer']","['Adventure', 'Drama', 'War']","['United Kingdom', 'United States']","['Atlas Mountains, Morocco']","['Columbia Pictures', 'Devon/Persky-Bright', 'Allied Artists Pictures']","['English', 'Arabic', 'Urdu']",0,0,4,1975.0
Deep Red,https://www.imdb.com/title/tt0073582/?ref_=sr_t_47,1975,2h 7m,R,7.5,44K,,67532.0,,,['Dario Argento'],"['Dario Argento', 'Bernardino Zapponi']","['David Hemmings', 'Daria Nicolodi', 'Gabriele Lavia']","['Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']",['Italy'],"['Villa Scott, Corso Giovanni Lanza 57, Turin, Piedmont, Italy']","['Rizzoli Film', 'Seda Spettacoli']","['Italian', 'German', 'Hebrew']",0,0,0,1975.0
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198/?ref_=sr_t_48,1975,3h 22m,Not Rated,7.5,15K,,10813.0,,,['Chantal Akerman'],['Chantal Akerman'],"['Delphine Seyrig', 'Jan Decorte', 'Henri Storck']",['Drama'],"['Belgium', 'France']","['Brussels, Brussels-Capital, Belgium']","['Paradise Films', 'Unité Trois', 'Ministère de la Culture Française de Belgique']",['French'],0,0,0,1975.0
The Family Vice,https://www.imdb.com/title/tt0073870/?ref_=sr_t_49,1975,1h 30m,,5.1,363,,,,,['Mariano Laurenti'],"['Cesare Frugoni', 'Marino Onorati', 'Gianfranco Couyoumdjian']","['Edwige Fenech', 'Renzo Montagnani', 'Juliette Mayniel']","['Raunchy Comedy', 'Comedy']",['Italy'],"['Incir De Paolis Studios, Rome, Lazio, Italy']",['Flora Film'],['Italian'],0,0,0,1975.0
Shivers,https://www.imdb.com/title/tt0073705/?ref_=sr_t_50,1975,1h 27m,R,6.3,24K,185000.0,,,,['David Cronenberg'],['David Cronenberg'],"['Paul Hampton', 'Joe Silver', 'Lynn Lowry']","['Body Horror', 'Horror', 'Sci-Fi']",['Canada'],"['200 Rue de Gaspé, Île-des-Soeurs, Montréal, Québec, Canada']","['Cinépix Film Properties (CFP)', 'DAL Productions', 'Canadian Film Development Corporation (CFDC)']","['English', 'French']",0,0,0,1975.0
Night Moves,https://www.imdb.com/title/tt0073453/?ref_=sr_t_51,1975,1h 40m,R,7.1,19K,,,,,['Arthur Penn'],['Alan Sharp'],"['Gene Hackman', 'Jennifer Warren', 'Edward Binns']","['Hard-boiled Detective', 'Crime', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Sanibel Island, Florida, USA']","['Warner Bros.', 'Hiller Productions', 'Layton Productions']","['English', 'Spanish', 'French']",0,0,1,1975.0
A Boy and His Dog,https://www.imdb.com/title/tt0072730/?ref_=sr_t_52,1975,1h 31m,R,6.4,20K,400000.0,,,,['L.Q. Jones'],"['L.Q. Jones', 'Harlan Ellison', 'Wayne Cruseturner']","['Don Johnson', 'Jason Robards', 'Susanne Benton']","['Dark Comedy', 'Dystopian Sci-Fi', 'Satire', 'Comedy', 'Drama', 'Sci-Fi', 'Thriller']",['United States'],"['Coyote Dry Lake, California, USA']",['LQ/JAF'],['English'],0,2,0,1975.0
Countess Perverse,https://www.imdb.com/title/tt0069930/?ref_=sr_t_53,1975,1h 27m,,5.3,767,,,,,['Jesús Franco'],"['Jesús Franco', 'Elisabeth Ledu de Nesle']","['Alice Arno', 'Robert Woods', 'Howard Vernon']","['Drama', 'Horror', 'Thriller']",['France'],"['Calpe, Alicante, Comunidad Valenciana, Spain']",['Comptoir Français du Film Production (CFFP)'],['French'],0,0,0,1975.0
Mandingo,https://www.imdb.com/title/tt0073349/?ref_=sr_t_54,1975,2h 7m,R,6.5,4.4K,,,2433010.0,,['Richard Fleischer'],"['Kyle Onstott', 'Jack Kirkland', 'Norman Wexler']","['James Mason', 'Susan George', 'Perry King']","['Drama', 'History', 'Romance']",['United States'],"['Houmas House Plantation - 40136 Highway 942, Burnside, Louisiana, USA']","['Dino De Laurentiis Company', 'Paramount Pictures']","['English', 'French']",0,0,0,1975.0
The Stepford Wives,https://www.imdb.com/title/tt0073747/?ref_=sr_t_55,1975,1h 55m,PG,6.9,20K,,,8720000.0,,['Bryan Forbes'],"['Ira Levin', 'William Goldman']","['Katharine Ross', 'Paula Prentiss', 'Peter Masterson']","['Artificial Intelligence', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",['United States'],"['Lockwood-Mathews Mansion - 295 West Avenue, Norwalk, Connecticut, USA']","['Palomar Pictures International', 'Fadsin Cinema Associates']",['English'],0,0,0,1975.0
Breakheart Pass,https://www.imdb.com/title/tt0072735/?ref_=sr_t_56,1975,1h 35m,PG,6.7,9.3K,,,,,['Tom Gries'],['Alistair MacLean'],"['Charles Bronson', 'Ben Johnson', 'Richard Crenna']","['Drama', 'Mystery', 'Western']",['United States'],"['Camas Prairie Railroad, Lewiston, Idaho, USA']",['Gershwin-Kastner Productions'],['English'],0,0,0,1975.0
Strip Nude for Your Killer,https://www.imdb.com/title/tt0073470/?ref_=sr_t_57,1975,1h 38m,Not Rated,5.6,3.3K,,,,,['Andrea Bianchi'],"['Andrea Bianchi', 'Massimo Felisatti']","['Edwige Fenech', 'Nino Castelnuovo', 'Femi Benussi']","['Erotic Thriller', 'Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']",['Italy'],"['Milan, Lombardia, Italy']",['FRAL Cinematografica'],['Italian'],0,0,0,1975.0
