Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
The Perils of Gwendoline in the Land of the Yik Yak,https://www.imdb.com/title/tt0087903/?ref_=sr_t_143,1984,1h 27m,R,5.2,3.5K,,1337274.0,1337274.0,1337274.0,['Just Jaeckin'],"['Just Jaeckin', 'John Willie', 'Jean-Luc Voulfow']","['Tawny Kitaen', 'Brent Huff', 'Zabou Breitman']","['Sword & Sorcery', 'Action', 'Adventure', 'Comedy', 'Fantasy']",['France'],['Philippines'],"['G.P.F.I.', ""Les Films de l'Alma"", 'Parafrance Films']","['English', 'French']",0,0,0,1984.0
The River Rat,https://www.imdb.com/title/tt0088006/?ref_=sr_t_144,1984,1h 33m,PG,6.3,1.1K,,1142944.0,1142944.0,441466.0,['Thomas Rickman'],['Thomas Rickman'],"['Tommy Lee Jones', 'Martha Plimpton', 'Brian Dennehy']","['Adventure', 'Crime', 'Drama']",['United States'],"['New Orleans, Louisiana, USA']","['Cinema Group Ventures', 'SundanceTV']",['English'],0,0,0,1984.0
Mike's Murder,https://www.imdb.com/title/tt0087722/?ref_=sr_t_145,1984,1h 49m,R,5.8,1.1K,6300000.0,1059966.0,1059966.0,234438.0,['James Bridges'],['James Bridges'],"['Debra Winger', 'Mark Keyloun', 'Darrell Larson']","['Drama', 'Mystery', 'Thriller']",['United States'],"['Sunset Boulevard and Doheny Drive, Bevefly Hills, California, USA']",['Skyewiay'],['English'],0,0,0,1984.0
Comfort and Joy,https://www.imdb.com/title/tt0087072/?ref_=sr_t_146,1984,1h 46m,PG,6.6,2.4K,,1057368.0,1057368.0,,['Bill Forsyth'],['Bill Forsyth'],"['Bill Paterson', 'Eleanor David', 'Clare Grogan']",['Comedy'],['United Kingdom'],"['Glasgow, Strathclyde, Scotland, UK']","['Lake (Comfort and Joy)', 'Thorn EMI Screen Entertainment', 'Scottish Television (STV)']","['English', 'Italian']",0,0,1,1984.0
The Bostonians,https://www.imdb.com/title/tt0086992/?ref_=sr_t_147,1984,2h 2m,Not Rated,6.2,2.6K,,1009700.0,1009700.0,,['James Ivory'],"['Henry James', 'Ruth Prawer Jhabvala']","['Christopher Reeve', 'Vanessa Redgrave', 'Jessica Tandy']","['Period Drama', 'Drama', 'Romance']","['United Kingdom', 'United States']","[""Ocean Park, Oak Bluffs, Martha's Vineyard, Massachusetts, USA""]","['Merchant Ivory Productions', 'WGBH', 'Rediffusion']",['English'],0,7,2,1984.0
The Power,https://www.imdb.com/title/tt0081366/?ref_=sr_t_148,1984,1h 24m,R,4.5,772,,929162.0,929162.0,929162.0,"['Stephen Carpenter', 'Jeffrey Obrow']","['Jeffrey Obrow', 'Stephen Carpenter', 'John Penney']","['Suzy Stokey', 'Warren Lincoln', 'Lisa Erickson']",['Horror'],['United States'],"['Redondo Beach, California, USA']","['Film Ventures International (FVI)', 'Jeff Obrow Productions']","['English', 'Spanish']",0,0,0,1984.0
The Hit,https://www.imdb.com/title/tt0087414/?ref_=sr_t_149,1984,1h 38m,R,7.0,10K,,876775.0,876775.0,,['Stephen Frears'],['Peter Prince'],"['Freddie Stuart', 'Ralph Brown', 'A.J. Clarke']","['Psychological Thriller', 'Crime', 'Drama', 'Thriller']",['United Kingdom'],"['Monasterio de Piedra, Nuévalos, Zaragoza, Aragón, Spain']","['Zenith Entertainment', 'Recorded Picture Company (RPC)', 'Central Productions Ltd.']","['English', 'Spanish']",0,4,1,1984.0
Songwriter,https://www.imdb.com/title/tt0088153/?ref_=sr_t_150,1984,1h 34m,R,6.2,944,8600000.0,865915.0,865915.0,497406.0,['Alan Rudolph'],['Bud Shrake'],"['Willie Nelson', 'Kris Kristofferson', 'Melinda Dillon']","['Drama', 'Music']",['United States'],"['Austin, Texas, USA']",['TriStar Pictures'],['English'],0,2,1,1984.0
Marlene,https://www.imdb.com/title/tt0085905/?ref_=sr_t_151,1984,1h 34m,Unrated,7.6,859,,852676.0,852676.0,14490.0,['Maximilian Schell'],"['Meir Dohnal', 'Maximilian Schell']","['Marlene Dietrich', 'Maximilian Schell', 'Annie Albers']","['Biography', 'Documentary']",['West Germany'],[],"['Bayerischer Rundfunk (BR)', 'Braun Entertainment Group', 'OKO-Film']","['English', 'German', 'French']",0,2,1,1984.0
Over the Brooklyn Bridge,https://www.imdb.com/title/tt0087864/?ref_=sr_t_152,1984,1h 48m,R,5.6,1.7K,4000000.0,837914.0,837914.0,,['Menahem Golan'],['Arnold Somkin'],"['Elliott Gould', 'Margaux Hemingway', 'Sid Caesar']","['Comedy', 'Romance']",['United States'],"['Park Slope, Brooklyn, New York City, New York, USA']","['City Films', 'Golan-Globus Productions']","['English', 'Hebrew', 'Yiddish', 'Italian']",0,0,0,1984.0
